state,year,obesity_pct,obesity_ci_low,obesity_ci_high,sample_size
WI,2017,32.0,30.3,33.8,5348.0
WY,2017,28.8,27.1,30.6,4158.0
AL,2018,36.2,34.6,37.9,6144.0
AK,2018,29.5,27.0,32.2,2600.0
AZ,2018,29.5,27.8,31.3,7449.0
AR,2018,37.1,35.1,39.1,4963.0
CA,2018,25.8,24.8,26.9,10856.0
CO,2018,23.0,21.9,24.0,8234.0
CT,2018,27.4,26.2,28.7,9722.0
DE,2018,33.5,31.7,35.4,4629.0
DC,2018,24.7,22.9,26.5,4081.0
FL,2018,30.7,29.1,32.3,13804.0
GA,2018,32.5,31.2,33.8,8231.0
HI,2018,24.9,23.6,26.3,7474.0
ID,2018,28.4,26.3,30.5,3434.0
IL,2018,31.8,30.2,33.4,4973.0
IN,2018,34.1,32.6,35.6,6885.0
IA,2018,35.3,34.2,36.5,8428.0
KS,2018,34.4,33.2,35.6,9901.0
KY,2018,36.6,34.9,38.4,8013.0
LA,2018,36.8,34.9,38.7,4720.0
ME,2018,30.4,28.9,31.9,10224.0
MD,2018,30.9,29.8,32.1,16029.0
MA,2018,25.7,24.3,27.2,6092.0
MI,2018,33.0,31.8,34.2,9589.0
MN,2018,30.1,29.2,30.9,15631.0
MS,2018,39.5,37.8,41.2,5477.0
MO,2018,35.0,33.3,36.8,5802.0
MT,2018,26.9,25.2,28.5,4804.0
NE,2018,34.1,32.9,35.3,13669.0
NV,2018,29.5,27.1,32.0,3005.0
NH,2018,29.6,27.9,31.4,5235.0
NJ,2018,25.7,23.3,28.2,2767.0
NM,2018,32.3,30.7,34.0,6269.0
NY,2018,27.6,26.7,28.6,32076.0
NC,2018,33.0,31.2,34.8,4294.0
ND,2018,35.1,33.3,37.0,5224.0
OH,2018,34.0,32.7,35.3,11907.0
OK,2018,34.8,33.1,36.6,4855.0
OR,2018,29.9,28.4,31.4,5471.0
PA,2018,30.9,29.4,32.5,5754.0
RI,2018,27.7,26.0,29.5,5141.0
SC,2018,34.3,33.0,35.6,10082.0
SD,2018,30.1,28.1,32.1,6630.0
TN,2018,34.4,32.5,36.3,4756.0
TX,2018,34.8,32.8,36.8,10187.0
UT,2018,27.8,26.7,28.9,9727.0
VT,2018,27.5,25.9,29.2,6021.0
VA,2018,30.4,29.1,31.6,9517.0
WA,2018,28.7,27.6,29.8,11864.0
WV,2018,39.5,37.8,41.3,4622.0
WI,2018,32.0,30.2,33.8,4585.0
WY,2018,29.0,27.3,30.8,4175.0
AL,2019,36.1,34.6,37.7,6521.0
AK,2019,30.5,27.8,33.4,2729.0
AZ,2019,31.4,29.7,33.2,8183.0
AR,2019,37.4,35.5,39.4,4922.0
CA,2019,26.2,25.1,27.2,10546.0
CO,2019,23.8,22.7,24.9,8644.0
CT,2019,29.1,27.8,30.5,8259.0
DE,2019,34.4,32.1,36.6,3401.0
DC,2019,23.8,21.7,25.9,2367.0
FL,2019,27.0,25.6,28.5,15091.0
GA,2019,33.1,31.3,35.0,6470.0
HI,2019,25.0,23.7,26.3,7341.0
ID,2019,29.5,27.6,31.4,4925.0
IL,2019,31.6,30.1,33.1,5188.0
IN,2019,35.3,34.0,36.7,8017.0
IA,2019,33.9,32.8,35.1,8938.0
KS,2019,35.2,34.1,36.4,10294.0
KY,2019,36.5,34.7,38.2,7468.0
LA,2019,35.9,34.1,37.7,4298.0
ME,2019,31.7,30.3,33.1,10455.0
MD,2019,32.3,31.1,33.4,15864.0
MA,2019,25.2,23.9,26.5,6787.0
MI,2019,36.0,34.7,37.3,9857.0
MN,2019,30.1,29.2,31.1,14139.0
MS,2019,40.8,39.0,42.7,4737.0
MO,2019,34.8,33.2,36.4,6726.0
MT,2019,28.3,27.0,29.7,6043.0
NE,2019,34.1,33.0,35.2,14710.0
NV,2019,30.6,28.2,33.1,2580.0
NH,2019,31.8,30.0,33.6,5220.0
NJ,2019,,,,
NM,2019,31.7,30.0,33.5,5558.0
NY,2019,27.1,26.0,28.2,12631.0
NC,2019,34.0,32.2,35.8,3871.0
ND,2019,34.8,33.0,36.7,5174.0
OH,2019,34.8,33.5,36.1,12385.0
OK,2019,36.8,35.2,38.4,5748.0
OR,2019,29.0,27.5,30.4,5548.0
PA,2019,33.2,31.7,34.7,6138.0
RI,2019,30.0,28.2,31.9,5464.0
SC,2019,35.4,33.8,36.9,6627.0
SD,2019,33.0,30.6,35.5,6166.0
TN,2019,36.5,34.8,38.3,5673.0
TX,2019,34.0,32.2,35.7,11082.0
UT,2019,29.2,28.2,30.3,10846.0
VT,2019,26.6,25.0,28.3,5864.0
VA,2019,31.9,30.6,33.2,9034.0
WA,2019,28.3,27.3,29.4,11676.0
WV,2019,39.7,38.0,41.5,4988.0
WI,2019,34.2,32.4,36.1,4574.0
WY,2019,29.7,27.7,31.7,4306.0
AL,2020,39.0,37.3,40.8,4973.0
AK,2020,31.9,29.4,34.4,3335.0
AZ,2020,30.9,29.5,32.3,9167.0
AR,2020,36.4,34.5,38.4,4696.0
CA,2020,30.3,28.3,32.2,4354.0
CO,2020,24.2,23.1,25.2,9211.0
CT,2020,29.2,27.7,30.8,7930.0
DE,2020,36.5,34.3,38.8,3520.0
DC,2020,24.3,22.3,26.4,3126.0
FL,2020,28.4,26.7,30.2,10591.0
GA,2020,34.3,32.5,36.0,8072.0
HI,2020,24.5,23.2,25.9,7383.0
ID,2020,31.1,29.4,32.9,5378.0
IL,2020,32.4,30.2,34.6,3271.0
IN,2020,36.8,35.4,38.1,7482.0
IA,2020,36.5,35.3,37.7,8692.0
KS,2020,35.3,34.0,36.5,9592.0
KY,2020,36.6,34.6,38.6,3660.0
LA,2020,38.1,36.2,40.1,4320.0
ME,2020,31.0,29.6,32.5,9682.0
MD,2020,31.0,29.8,32.2,12562.0
MA,2020,24.4,23.0,25.9,6124.0
MI,2020,35.2,33.7,36.7,6757.0
MN,2020,30.7,29.8,31.7,14247.0
