state,year,income_pc_nominal,income_pc_real,unemployment_rate
KS,2014,46289.0,61335.54754484071,4.5249999999999995
KS,2015,46597.0,61670.50703887624,4.175
KS,2016,46717.0,61059.01515510301,4.05
KS,2017,48271.0,61774.23063436724,3.641666666666667
KS,2018,50282.0,62813.511318223784,3.3083333333333336
KS,2019,52156.0,63994.83732820842,3.15
KS,2020,55229.0,66939.61778890272,5.825
KS,2021,59197.0,68529.56046508266,3.4333333333333336
KS,2022,61860.0,66306.04895014293,2.783333333333333
KS,2023,63550.0,65424.423267683494,2.891666666666666
KS,2024,65975.0,65975.0,3.516666666666667
KY,2011,34607.0,48261.179304774996,9.375
KY,2012,35630.0,48680.441075856026,8.191666666666666
KY,2013,35758.0,48150.00746847148,7.916666666666667
KY,2014,37225.0,49325.23401578551,6.441666666666666
KY,2015,38766.0,51306.28314846614,5.25
KY,2016,39319.0,51389.84559974945,5.075
KY,2017,40403.0,51705.25243563091,4.75
KY,2018,41658.0,52040.19837107844,4.2
KY,2019,43466.0,53332.30307745815,4.083333333333333
KY,2020,47086.0,57069.99661786875,6.449999999999999
KY,2021,51929.0,60115.74142931698,4.458333333333333
KY,2022,52606.0,56386.93842662817,4.041666666666667
KY,2023,55675.0,57317.14815780139,4.25
KY,2024,58310.0,58310.0,4.816666666666667
LA,2011,38966.0,54340.021174613874,7.341666666666666
LA,2012,40662.0,55555.545748707766,6.716666666666666
LA,2013,40996.0,55203.24699864245,6.375
LA,2014,42533.0,56358.63474528959,6.241666666666667
LA,2015,42484.0,56227.006481954166,6.266666666666667
LA,2016,42132.0,55066.43034687159,6.041666666666667
LA,2017,43486.0,55650.68453866905,5.125
LA,2018,45465.0,56795.99642184169,4.825
LA,2019,47015.0,57686.886973420485,4.633333333333334
LA,2020,50181.0,60821.252607596136,8.683333333333334
LA,2021,55112.0,63800.54962838717,5.608333333333333
LA,2022,55297.0,59271.34802450781,3.6333333333333333
LA,2023,58859.0,60595.06104032388,3.716666666666667
LA,2024,61667.0,61667.0,4.2749999999999995
ME,2011,39502.0,55087.49978031097,7.7749999999999995
ME,2012,39992.0,54640.1403173066,7.208333333333333
