state,year,obesity_pct,obesity_ci_low,obesity_ci_high,sample_size,diabetes_pct,diabetes_ci_low,diabetes_ci_high,glp1_prescriptions,n_cells,n_suppressed_cells,pct_cells_suppressed,medicaid_enrollment,population,pct_65plus,income_pc_nominal,income_pc_real,unemployment_rate,glp1_per_1000_enrollees,glp1_per_1000_pop,log_income_pc,log_population
NJ,2024,27.7,26.3,29.0,7616.0,10.8,9.9,11.7,126457.0,212.0,100.0,47.16981132075472,,9500851,17.971544718872742,84844.0,84844.0,4.641666666666667,,13.31007085575808,11.348569555139107,16.066891931506184
NM,2011,26.3,25.1,27.6,8981.0,10.0,9.3,10.7,1359.0,30.0,15.0,50.0,,2080707,13.62159004467863,35069.0,48905.46123729749,7.216666666666666,,0.6531433786688852,10.797644350971346,14.548218297769429
NM,2012,27.1,25.9,28.3,8385.0,10.3,9.5,11.0,1830.0,32.0,14.0,43.75,,2087715,14.192840578187203,35694.0,48767.88278870629,6.95,,0.8765564265237353,10.794827235596626,14.551580724415604
NM,2013,26.4,25.1,27.7,8914.0,10.7,9.9,11.7,1668.0,39.0,20.0,51.282051282051285,,2092833,14.710183011180892,34857.0,46936.76408995219,6.9,,0.7970057811588407,10.756556529873908,14.554029208469322
NM,2014,28.4,27.0,30.0,8284.0,11.5,10.7,12.5,2222.0,32.0,12.0,37.5,,2090236,15.2711633526351,36880.0,48868.08946950086,6.558333333333334,,1.0630378579260906,10.796879895362515,14.552787536226448
NM,2015,28.8,27.1,30.6,6206.0,11.5,10.5,12.6,3441.0,48.0,29.0,60.416666666666664,,2090071,15.819795322987869,37752.0,49964.267693878486,6.608333333333333,,1.6463555544285338,10.819063382806586,14.552708594655849
NM,2016,28.3,26.6,30.1,5531.0,11.6,10.6,12.7,4861.0,49.0,20.0,40.816326530612244,835425.0,2092555,16.357076706957976,38474.0,50285.43247805795,6.783333333333334,5.818595325732412,2.322997483937101,10.825470701379688,14.553896365349205
NM,2017,28.4,26.8,30.0,6046.0,10.7,9.7,11.7,6608.0,79.0,32.0,40.50632911392405,849346.0,2092844,16.945266225987815,39196.0,50160.60872873274,6.116666666666667,7.780103750415025,3.157425971548763,10.82298531097345,14.554034464488838
NM,2018,32.3,30.7,34.0,6269.0,12.5,11.5,13.6,9483.0,91.0,40.0,43.956043956043956,809982.0,2093754,17.541207135285813,40976.0,51188.22719413583,4.933333333333334,11.707667577798025,4.529185377078683,10.843264846973359,14.55446918500145
NM,2019,31.7,30.0,33.5,5558.0,12.3,11.2,13.4,14478.0,76.0,31.0,40.78947368421053,795889.0,2099634,18.093620673388,43223.0,53034.14475491128,4.966666666666667,18.1909788927853,6.895487499249869,10.878691225759036,14.557273601789845
NM,2020,30.9,29.0,32.8,6485.0,12.4,11.3,13.7,19953.0,89.0,40.0,44.943820224719104,835349.0,2118606,18.42751259330108,46560.0,56432.46490523656,7.925,23.88582496657086,9.417985222358475,10.940799890768318,14.56626888319943
NM,2021,34.6,32.9,36.3,5907.0,13.2,12.1,14.3,24332.0,122.0,54.0,44.26229508196721,892255.0,2117333,18.936041303836475,50855.0,58872.42254593608,7.083333333333333,27.27023104381595,11.491815411180008,10.98312805194744,14.565667835810256
NM,2022,32.4,30.5,34.4,4445.0,12.6,11.4,13.9,34310.0,152.0,71.0,46.71052631578947,935057.0,2113868,19.452176351266758,53141.0,56960.39035337125,4.066666666666666,36.69295026934187,16.23090940399306,10.950111399176336,14.56403000259242
NM,2023,35.3,32.7,38.0,3029.0,12.5,10.9,14.4,47854.0,196.0,69.0,35.204081632653065,,2121164,19.91177543631924,55505.0,57142.13396495314,3.658333333333333,,22.56025465263412,10.953297021341402,14.567475552575543
NM,2024,34.5,32.1,37.1,3144.0,12.3,10.9,13.8,57560.0,221.0,75.0,33.93665158371041,,2130256,20.292794133346938,58345.0,58345.0,4.091666666666667,,27.020226676981547,10.974128944240208,14.571752718257061
NY,2011,24.5,23.2,25.9,7222.0,10.4,9.6,11.3,38062.0,25.0,0.0,0.0,,19499921,13.71876874250268,50772.0,70804.0741948749,8.358333333333333,,1.9519053436165203,11.167671823151506,16.785920972243716
NY,2012,23.6,22.1,25.1,5700.0,9.7,8.7,10.9,37079.0,47.0,3.0,6.382978723404255,,19574362,14.160976803080978,52625.0,71900.31466789008,8.65,,1.8942635269542885,11.183035920165349,16.7897312067174
NY,2013,25.4,24.2,26.6,8465.0,10.6,9.8,11.5,40784.0,43.0,3.0,6.976744186046512,,19626488,14.513256024802615,52874.0,71197.5920042497,7.816666666666666,,2.0780080470841242,11.17321427666312,16.79239064041448
NY,2014,27.0,25.6,28.5,6325.0,10.0,9.2,10.9,48125.0,58.0,14.0,24.137931034482758,,19653431,14.895559930983833,54496.0,72210.28751979173,6.291666666666667,,2.4486818611976706,11.1873378011544,16.793762486635725
NY,2015,25.0,24.0,26.1,11281.0,9.8,9.2,10.5,59320.0,110.0,19.0,17.272727272727273,,19657321,15.271981286325223,56608.0,74919.93180798563,5.216666666666667,,3.0177052101860675,11.224175246359875,16.79396039686714
NY,2016,25.5,24.6,26.5,31269.0,10.5,9.8,11.1,92400.0,121.0,34.0,28.09917355371901,5839153.0,19636391,15.669422215799672,58400.0,76328.67018554307,4.875,15.824212861009123,4.705548998285886,11.24280390272988,16.792895086367615
NY,2017,25.7,24.6,26.9,11180.0,10.5,9.8,11.2,107744.0,120.0,23.0,19.166666666666668,5877351.0,19593849,16.088506021267804,62206.0,79607.37898202747,4.641666666666667,18.33206830764404,5.498868547981563,11.284862068315261,16.790726248416284
NY,2018,27.6,26.7,28.6,32076.0,11.0,10.4,11.6,139611.0,139.0,32.0,23.02158273381295,5928470.0,19544098,16.520830457953156,64229.0,80236.44680916025,4.1000000000000005,23.549246264213195,7.143384156178505,11.29273313961596,16.78818390623379
NY,2019,27.1,26.0,28.2,12631.0,10.5,9.8,11.3,185326.0,134.0,36.0,26.865671641791046,5908228.0,19463131,16.98262456624693,66460.0,81545.6877220786,3.891666666666667,31.36744215016753,9.521900664389506,11.308918727706551,16.78403251592189
NY,2020,26.3,25.3,27.4,12583.0,10.3,9.6,11.0,245876.0,153.0,39.0,25.49019607843137,6193961.0,20105171,16.81084281796444,70352.0,85269.26054581621,9.908333333333331,39.69608462177918,12.229490612141523,11.35356929978359,16.81648760362427
NY,2021,29.1,28.3,30.0,33121.0,11.4,10.9,12.0,356710.0,188.0,37.0,19.680851063829788,6880598.0,19848276,17.44570504883406,76410.0,88456.23452433341,7.05,51.84287761034724,17.97183795711023,11.390263183529356,16.803627709940283
NY,2022,30.1,29.1,31.2,15006.0,11.3,10.6,12.0,487981.0,251.0,75.0,29.8804780876494,7316492.0,19703747,17.99021285844095,77425.0,82989.7484637054,4.275,66.69603411033594,24.76589858771532,11.326472366664962,16.796319378667597
NY,2023,28.0,27.0,29.1,15370.0,10.6,10.0,11.4,649794.0,229.0,48.0,20.96069868995633,,19737367,18.482821409265345,81729.0,84139.61745467356,4.025,,32.92202044984014,11.340232810600703,16.79802419908128
NY,2024,29.5,28.8,30.2,39198.0,12.3,11.8,12.8,703169.0,197.0,40.0,20.304568527918782,,19867248,18.91658087271718,84978.0,84978.0,4.15,,35.393377079704244,11.350147678442452,16.80458310468432
NC,2011,29.1,27.7,30.6,10790.0,10.8,10.0,11.6,7372.0,20.0,0.0,0.0,,9658913,13.372726833402336,36822.0,51350.10675182549,10.35,,0.7632328813811657,10.84642229426059,16.08339167397727
NC,2012,29.6,28.5,30.7,11113.0,10.4,9.8,11.1,7296.0,24.0,3.0,12.5,,9751810,13.94435063142651,38876.0,53115.37544948018,9.6,,0.7481688014840322,10.880221721804027,16.09296346677051
NC,2013,29.4,28.1,30.7,8292.0,11.4,10.6,12.2,8082.0,22.0,2.0,9.090909090909092,,9846717,14.402536871551114,38074.0,51268.62196863871,7.774999999999999,,0.8207811801639064,10.84483418648867,16.102648658099266
NC,2014,29.7,28.4,31.0,6621.0,10.8,10.1,11.6,9765.0,25.0,4.0,16.0,,9937295,14.843825892080172,39880.0,52843.25943719345,6.116666666666667,,0.9826617806958533,10.875085441767759,16.11180540880113
NC,2015,30.1,28.7,31.5,6019.0,10.7,9.9,11.5,11702.0,52.0,8.0,15.384615384615385,,10037218,15.233991035471137,41632.0,55099.39586330656,5.658333333333334,,1.16586089890645,10.916894030712594,16.121810542197412
